store_id,name,address,suburb,chain?,website_url,phone_number,lat,lng,apportioned_pop,pop_density_per_sqkm
STR_0118,Pets On The Point,325 Glebe Point Rd,Glebe,True,http://www.petsonthepoint.com.au/,(02) 9660 0011,-33.8775206,151.1853964,198106.7111819946,7006.59
STR_0119,Pets Point,Shop 5/47 Elizabeth Bay Rd,Elizabeth Bay,True,http://www.shoppetspoint.com.au/,0405 422 214,-33.8720745,151.227821,137139.66652064846,4850.32
STR_0120,Sydney City Aquarium,Level 202/541 Kent St,Sydney,True,https://sydneycityaquarium.com/,0412 150 123,-33.8757418,151.2053384,187818.05964533403,6642.71
STR_0121,Pipo Pet,shop 103/18 Park Ln,Chippendale,True,,0414 051 688,-33.8857216,151.2011604,225076.53898579985,7960.45
STR_0122,Yorkie Puppies for Adoption Australia,822 George St,Chippendale,True,https://yorkiepuppiesheaven.nicepage.io/,0417 767 344,-33.8842399,151.2026402,220633.10651084752,7803.3
STR_0123,Leadr Pet,58 City Rd,Chippendale,True,https://leadrpet.com/,1300 168 340,-33.88648939999999,151.1942854,218961.26757082116,7744.17
STR_0124,Petbarn Paddington,354 Oxford St,Paddington,True,https://www.petbarn.com.au/store-finder/paddington?utm_content=local_seo,(02) 9184 5222,-33.8863591,151.2297082,191306.57650461473,6766.09
STR_0125,LUX4PETZ,9 Castlereagh St,Sydney,True,https://lux4petz.com/,,-33.8666739,151.2096645,157130.57770362447,5557.36
STR_0126,chokyo pet pick up spot,2 Watermans Quay,Barangaroo,True,https://www.chokyo.com.au/,0450 108 828,-33.8631576,151.2022117,155814.01986672994,5510.79
STR_0127,Cuddle Crew Australia,138 Riley St,Darlinghurst,True,http://www.cuddlecrew.com.au/,,-33.8770277,151.2148913,177530.9575876539,6278.87
STR_0128,Petbarn Glebe,90 Glebe Point Rd,Glebe,True,https://www.petbarn.com.au/store-finder/glebe,(02) 9123 4234,-33.8823708,151.1896948,219072.30932363728,7748.1
STR_0129,Paddo Pets,Paddington NSW 2021,Paddington,True,,0473 802 021,-33.8850215,151.2262353,192293.22932443375,6800.98
STR_0130,Petbarn Potts Point,46A Macleay St,Potts Point,True,https://www.petbarn.com.au/store-finder/potts-point?utm_content=local_seo,(02) 9184 6333,-33.8712703,151.2254547,141544.9935555666,5006.13
STR_0131,Pet Influencer,123 Liverpool St,Sydney,True,,0404 788 072,-33.877016,151.207261,190404.4213816862,6734.18
